Fasta headers,P,P,P,TPA,TPA,TPA,BHET,BHET,BHET,PET,PET,PET,PETB,PETB,PETB
GFJPDDAG_00023 RNA polymerase-associated protein RapA,19.65909,19.24892,20.08374,20.9259,20.29562,20.897,19.92986,20.07854,20.16462,21.32843,20.17286,23.19918,22.50375,20.97521,20.90178
GFJPDDAG_00024 Aminomethyltransferase,20.76552,19.20641,20.39193,20.85643,20.06783,20.32781,19.63308,20.82771,19.64662,20.10473,20.77861,20.85958,22.29504,20.75733,20.65674
GFJPDDAG_00025 putative glycine dehydrogenase (decarboxylating) subunit 1,19.17264,20.50347,20.57348,21.55247,21.43923,21.2581,22.24232,21.52803,22.6352,21.42125,18.99478,20.73289,21.85704,21.49524,19.44089
GFJPDDAG_00027 putative adenylyltransferase/sulfurtransferase MoeZ,21.19526,21.78065,20.77402,20.67889,20.65466,20.70725,21.77475,20.40895,22.09217,21.32099,21.03036,19.71835,22.97583,19.33986,19.96472
GFJPDDAG_00029 Vitamin B12-dependent ribonucleoside-diphosphate reductase,24.53896,25.00672,23.81157,21.05967,21.09496,22.39203,23.38403,20.65317,23.71649,21.21264,19.60743,21.07743,22.19414,19.41305,21.26484
GFJPDDAG_00030 hypothetical protein,24.64075,24.29207,25.41406,25.84986,26.35835,24.72203,26.42235,25.81142,26.0829,25.85146,26.75149,26.3623,21.26344,21.19524,20.38931
GFJPDDAG_00034 Aminopeptidase YpdF,25.2149,26.91502,23.89578,24.83697,22.31346,25.1102,21.87519,20.41359,19.92267,24.10029,23.0745,19.95251,23.07581,19.35181,21.87269
GFJPDDAG_00035 Elongation factor P,22.10604,22.20075,21.92857,21.44624,20.40804,20.87807,20.06336,19.58376,20.00584,21.29438,21.05341,20.00499,22.35287,21.22927,21.37635
GFJPDDAG_00042 hypothetical protein,24.65704,23.17074,25.35104,24.3889,25.04568,24.14864,25.98759,26.3663,25.79216,21.0561,25.29358,25.07182,22.42274,20.14555,20.9381
GFJPDDAG_00043 Stage III sporulation protein AH,21.02025,19.22977,19.57524,20.39092,22.23335,21.52371,18.94661,20.36521,19.32854,20.91024,19.45127,20.15383,21.02128,20.45618,21.07432
GFJPDDAG_00044 Biotin carboxyl carrier protein of acetyl-CoA carboxylase,25.1622,23.74355,24.33313,20.5484,20.21303,20.7021,18.65312,20.94845,20.12336,20.96351,19.61645,20.4086,22.52254,19.1063,20.51665
