Fasta headers,P,P,P,TPA,TPA,TPA,BHET,BHET,BHET,PET,PET,PET
DMKJLJHC_00003 Ferredoxin--NAD(P)(+) reductase fdr,-12.5254,-12.39031,-11.96059,-13.33226,-14.84267,-13.13721,-13.99558,-12.37807,-14.16679,-14.46081,-12.98018,-14.13272
DMKJLJHC_00034 Phosphoserine aminotransferase,-13.07648,-12.6667,-13.30657,-12.79569,-13.78731,-14.29123,-13.27943,-13.4821,-13.35495,-14.59595,-13.4649,-13.42668
DMKJLJHC_00035 D-3-phosphoglycerate dehydrogenase,-12.07259,-13.56292,-12.78833,-13.07656,-14.13063,-13.21575,-13.35239,-13.57081,-14.77819,-14.35314,-12.5709,-13.5585
DMKJLJHC_00037 Beta-ketothiolase BktB,-13.85088,-9.70855,-12.99519,-12.10683,-13.6608,-14.16138,-14.39959,-13.12621,-13.04073,-14.51707,-12.9976,-14.2542
DMKJLJHC_00111 hypothetical protein,-8.544193,-8.482867,-8.304553,-9.088223,-7.853795,-7.859066,-8.654279,-8.228708,-8.774323,-9.299901,-8.916045,-8.168606
DMKJLJHC_00112 Porin,-6.954941,-7.875236,-8.582027,-7.058769,-6.451268,-5.933344,-8.594487,-7.58261,-7.412787,-8.385466,-7.955889,-8.306263
DMKJLJHC_00121 putative zinc protease,-11.51506,-12.97105,-14.25432,-13.29923,-13.79152,-13.33836,-13.13975,-14.1274,-14.10455,-15.15317,-13.85168,-14.1636
DMKJLJHC_00124 Bifunctional purine biosynthesis protein PurH,-11.45531,-10.87984,-11.27986,-13.97531,-12.68492,-13.98401,-13.33981,-13.71225,-13.48435,-14.56011,-12.84333,-13.71985
DMKJLJHC_00134 30S ribosomal protein S15;DMKJLJHC_05849 30S ribosomal protein S15,-9.345373,-12.94726,-9.630374,-13.11636,-13.33601,-13.66245,-13.45308,-13.94799,-14.23523,-12.22103,-13.2092,-14.00785
DMKJLJHC_00137 Polyribonucleotide nucleotidyltransferase,-8.451436,-6.996393,-7.62881,-13.72902,-10.60872,-14.8413,-12.87535,-12.70856,-14.33487,-13.68273,-13.10748,-12.10659
DMKJLJHC_00148 Glutamyl-tRNA(Gln) amidotransferase subunit A,-12.83915,-14.04809,-13.97893,-12.89988,-13.77304,-13.49495,-12.67116,-13.22608,-13.87824,-13.99518,-12.03612,-12.93331
DMKJLJHC_00152 hypothetical protein,-8.385276,-7.820017,-7.90038,-8.838979,-8.978976,-8.957535,-10.14853,-10.07816,-10.40075,-9.050513,-10.71547,-9.346632
DMKJLJHC_00193 Periplasmic pH-dependent serine endoprotease DegQ,-15.26661,-13.71884,-13.8799,-12.89996,-14.54924,-13.52409,-13.51668,-14.24198,-13.26049,-15.59563,-12.87165,-14.24308
DMKJLJHC_00197 Ribose import binding protein RbsB,-6.997868,-6.387639,-6.509572,-8.289454,-7.54999,-6.655538,-7.429092,-7.217735,-7.354985,-8.061746,-7.897026,-7.351573
DMKJLJHC_00199 Ribose import ATP-binding protein RbsA,-10.80188,-13.54509,-13.01068,-12.36351,-14.11068,-13.1267,-13.91947,-14.97729,-14.74967,-13.06902,-12.99746,-14.03671
DMKJLJHC_00209 Membrane lipoprotein TmpC,-11.50555,-10.82582,-12.74609,-10.78813,-9.505107,-8.582281,-9.607182,-9.41173,-9.445055,-9.490871,-10.06597,-9.468664
DMKJLJHC_00225 Signal recognition particle receptor FtsY,-11.52478,-12.78045,-13.2799,-14.00061,-13.74125,-12.5177,-14.08813,-13.38797,-14.31724,-14.72468,-14.95482,-14.16347
DMKJLJHC_00237 hypothetical protein,-10.12627,-9.76501,-9.783959,-10.85347,-8.959474,-9.620798,-9.797365,-9.245228,-9.669206,-10.5324,-9.901639,-9.4577
DMKJLJHC_00241 Transaldolase,-14.6963,-13.53518,-13.15341,-13.5101,-13.29716,-15.10318,-13.00549,-13.5643,-14.43348,-14.05064,-14.47273,-12.38912
DMKJLJHC_00253 Dipeptidyl-peptidase 5,-6.881122,-6.765485,-6.963915,-9.4698,-8.32576,-7.791437,-7.732156,-7.158072,-7.90522,-8.695333,-8.536741,-8.044216
DMKJLJHC_00254 Outer membrane lipoprotein Omp16,-13.71469,-14.27742,-12.19278,-7.926311,-8.589284,-9.173599,-12.75814,-8.967219,-9.500707,-9.414012,-9.010669,-8.561794
DMKJLJHC_00255 Cell division coordinator CpoB,-12.24338,-10.61025,-11.10999,-10.23583,-9.724696,-9.623918,-10.92325,-10.02957,-10.13349,-11.11034,-11.03656,-11.23449
DMKJLJHC_00268 hypothetical protein,-9.959066,-9.343553,-9.188509,-9.998158,-9.827307,-9.427969,-10.43423,-10.55888,-10.38107,-10.17294,-10.09591,-9.906516
DMKJLJHC_00274 Outer membrane lipoprotein Omp16,-10.80074,-13.99438,-13.44371,-13.81122,-13.43548,-13.77023,-13.20295,-13.6065,-11.29058,-14.53179,-13.41931,-14.30404
DMKJLJHC_00275 Type II secretion system protein D,-9.957315,-9.554169,-9.91879,-13.36699,-12.53662,-12.99017,-12.30751,-12.14421,-12.38139,-13.38358,-12.48737,-11.83949
DMKJLJHC_00286 putative aminotransferase,-8.082801,-9.223903,-9.160375,-13.82716,-12.12199,-12.01045,-10.65591,-10.38959,-11.50404,-13.64347,-13.01473,-11.83209
DMKJLJHC_00289 putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit B,-15.391,-13.13116,-12.95384,-13.03202,-13.92301,-13.36119,-14.1934,-13.85157,-15.26247,-13.63954,-13.09589,-14.12014
DMKJLJHC_00293 Metalloprotease TldD,-10.82311,-10.54045,-14.67286,-12.82543,-12.77549,-13.53097,-13.80289,-14.27857,-14.81795,-16.08016,-14.29407,-14.14876
DMKJLJHC_00300 Threonine synthase,-15.86106,-12.00044,-12.7022,-13.09897,-13.02282,-13.97252,-13.22076,-15.29136,-14.71558,-12.76389,-14.82547,-14.38881
DMKJLJHC_00303 Aspartate kinase,-14.3505,-13.27862,-12.95596,-12.51137,-13.19009,-13.84282,-14.34943,-15.14287,-14.69284,-14.21456,-14.07864,-13.41517
DMKJLJHC_00315 Toluene efflux pump periplasmic linker protein TtgA,-14.07635,-14.00466,-13.88972,-12.62022,-11.96781,-14.04085,-14.0091,-14.48228,-14.63808,-14.52638,-13.84905,-14.17428
DMKJLJHC_00317 Glycine betaine transport ATP-binding protein OpuAA,-14.70395,-13.33179,-13.547,-13.65998,-13.35026,-13.08106,-14.60375,-13.48801,-13.74953,-13.92563,-13.95639,-14.34936
DMKJLJHC_00319 hypothetical protein,-11.14498,-13.35077,-12.64198,-9.6641,-8.437525,-7.088728,-9.011685,-8.74139,-9.007091,-8.635777,-8.997794,-8.604322
DMKJLJHC_00371 Chaperone protein ClpB,-12.77167,-13.09678,-12.7511,-12.5255,-13.8347,-13.85322,-14.73737,-14.30137,-14.15098,-14.72408,-12.69867,-15.04435
DMKJLJHC_00379 Methionine--tRNA ligase,-10.58631,-12.99794,-13.03672,-13.58757,-14.35415,-13.45117,-14.10914,-11.3391,-14.40764,-11.24896,-13.0329,-13.42353
DMKJLJHC_00387 30S ribosomal protein S16,-8.369763,-7.944701,-13.54237,-13.79437,-14.06593,-13.13322,-13.77986,-13.34422,-14.00864,-15.11207,-15.14359,-14.03223
DMKJLJHC_00396 Glucans biosynthesis protein G,-10.0256,-12.47361,-12.21266,-13.22243,-13.79074,-12.31694,-13.74409,-14.12451,-15.02373,-15.07144,-13.95684,-13.87644
DMKJLJHC_00431 hypothetical protein,-9.908352,-10.40103,-11.77633,-12.97825,-14.22484,-13.62694,-14.01581,-13.07789,-14.61635,-14.7117,-12.75667,-13.10347
DMKJLJHC_00432 Acetyl-coenzyme A synthetase,-14.9279,-14.50591,-12.72512,-14.93977,-12.59657,-13.91216,-13.95561,-14.04609,-14.20905,-14.27229,-13.76975,-15.00495
DMKJLJHC_00447 Aspartate-semialdehyde dehydrogenase 2,-10.64994,-11.41077,-14.49956,-13.66328,-15.00646,-13.51312,-13.85244,-15.284,-13.01708,-12.94772,-14.19506,-13.59624
DMKJLJHC_00452 hypothetical protein,-11.87056,-11.67995,-11.84762,-14.542,-13.97549,-13.62626,-14.74311,-12.79522,-14.64866,-14.00692,-13.04645,-13.84998
DMKJLJHC_00459 hypothetical protein,-14.92803,-13.17494,-14.29386,-13.68083,-13.89718,-12.49564,-12.87948,-12.96305,-12.8873,-14.55635,-13.49991,-13.48679
DMKJLJHC_00460 S-(hydroxymethyl)glutathione dehydrogenase,-14.06744,-12.94969,-12.27704,-13.63579,-13.55317,-13.65913,-13.58478,-14.0181,-14.58021,-13.92826,-12.96114,-14.25686
DMKJLJHC_00462 hypothetical protein,-14.69903,-13.0205,-13.3926,-13.03607,-14.15477,-14.47245,-12.89064,-14.1728,-14.42899,-13.48035,-13.6611,-10.93944
