Fasta headers,P,P,P,TPA,TPA,TPA,BHET,BHET,BHET,PET,PET,PET
GFJPDDAG_00064 Leucine dehydrogenase,-9.291571,-9.306263,-10.5209,-7.571241,-7.398817,-6.169972,-9.062002,-7.410198,-8.623004,-7.29313,-7.624799,-7.669505
GFJPDDAG_00070 Bacillopeptidase F,-5.703083,-7.186822,-5.076987,-10.00825,-8.832032,-8.858261,-7.294096,-8.6459,-8.045349,-8.431351,-8.284287,-8.801723
GFJPDDAG_00091 hypothetical protein,-11.47231,-13.32242,-11.04806,-15.10905,-13.76883,-13.30959,-15.20157,-13.89637,-13.23464,-15.36063,-12.02761,-11.92731
GFJPDDAG_00304 hypothetical protein,-10.36785,-10.60144,-9.549654,-10.27725,-11.36409,-9.011414,-10.04812,-10.7615,-10.78992,-10.86941,-8.750708,-9.866041
GFJPDDAG_00328 Purine nucleoside phosphorylase DeoD-type,-8.967468,-7.992603,-9.801153,-9.648284,-12.61784,-9.412348,-11.1038,-11.17408,-13.89723,-10.32026,-15.91395,-11.48235
"GFJPDDAG_00362 6,7-dimethyl-8-ribityllumazine synthase",-9.005842,-9.020778,-10.07615,-10.31609,-13.22036,-9.135901,-13.71233,-14.09118,-12.74351,-16.01423,-9.993808,-11.63018
GFJPDDAG_00598 hypothetical protein,-7.861767,-7.143314,-6.89463,-11.45004,-10.0969,-9.317314,-9.176689,-8.611217,-8.832408,-9.963718,-9.026206,-9.557397
GFJPDDAG_00683 hypothetical protein,-6.377779,-6.948219,-5.811974,-14.99049,-11.24167,-11.49649,-10.03166,-8.867233,-9.350777,-10.05905,-9.872015,-9.945169
GFJPDDAG_00858 Carbon starvation protein A,-14.34886,-14.0022,-14.49892,-16.3013,-14.0071,-13.36998,-16.33473,-14.30725,-13.83497,-15.06744,-15.39864,-16.53222
GFJPDDAG_00879 Putative cysteine protease YraA,-8.409585,-8.999107,-8.48533,-9.673762,-9.039813,-8.93016,-9.5936,-8.796784,-9.441145,-9.299377,-8.890973,-8.344641
GFJPDDAG_00909 L-cystine uptake protein TcyP,-9.503021,-11.02085,-9.963798,-11.69114,-13.94217,-9.443172,-15.29429,-13.89547,-12.59345,-11.08536,-14.05479,-13.20557
GFJPDDAG_00927 Sulfite reductase [ferredoxin],-11.8912,-10.61431,-11.27258,-14.55203,-15.5395,-15.14046,-14.26499,-14.13472,-14.44014,-15.25992,-14.33748,-15.12537
GFJPDDAG_00939 Serine-aspartate repeat-containing protein D,-11.10566,-13.15564,-10.92484,-13.60412,-15.74016,-13.80938,-14.91718,-13.7501,-12.47865,-13.83086,-13.12874,-13.17031
GFJPDDAG_00981 General stress protein 18,-8.839947,-9.127038,-9.459221,-15.78174,-13.06936,-14.16247,-15.12552,-10.25331,-13.42942,-15.45102,-11.25063,-15.94511
GFJPDDAG_01014 hypothetical protein,-10.56328,-12.26509,-10.27858,-13.88964,-14.4618,-10.03703,-13.90465,-14.20685,-12.88262,-16.19069,-10.0337,-13.46573
GFJPDDAG_01221 Glutamine synthetase,-10.74424,-8.541023,-10.40951,-10.61727,-12.49455,-10.72958,-15.26368,-13.99838,-13.51147,-9.866463,-10.26166,-11.12578
GFJPDDAG_01283 hypothetical protein,-10.19296,-10.86687,-9.715528,-14.115,-15.01674,-14.1421,-15.23556,-15.114,-13.92449,-13.44859,-13.9028,-15.05976
GFJPDDAG_01303 Membrane lipoprotein TmpC,-11.47545,-10.82677,-10.872,-16.43864,-14.31195,-16.30764,-16.05523,-14.48829,-14.44972,-15.06121,-14.40178,-14.3926
GFJPDDAG_01357 Flagellar hook protein FlgE,-10.83029,-9.719898,-10.47748,-11.50348,-13.83968,-10.8763,-12.9597,-15.69369,-14.40836,-10.80975,-14.11881,-13.25694
"GFJPDDAG_01424 Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit",-12.10986,-11.22127,-11.7555,-15.78488,-13.40643,-14.40787,-13.90447,-15.26422,-14.9444,-15.25245,-15.69589,-15.16896
"GFJPDDAG_01425 Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit",-12.25158,-12.26312,-11.89268,-14.20828,-13.94874,-15.17305,-14.25446,-14.47134,-13.12049,-15.83605,-15.32563,-15.42173
GFJPDDAG_01497 Cytochrome c oxidase subunit 1,-12.51009,-12.62458,-12.30287,-15.51284,-13.68747,-12.24284,-14.09168,-14.4606,-11.52497,-15.29635,-15.86798,-13.87977
GFJPDDAG_01498 Cytochrome c oxidase subunit 2,-11.61334,-11.4125,-11.7148,-14.44616,-12.51216,-10.48751,-13.47347,-15.13949,-13.81326,-12.36156,-15.93019,-14.07262
GFJPDDAG_01524 Dihydrolipoyl dehydrogenase,-10.35943,-8.125846,-11.95197,-7.362494,-10.44534,-7.431826,-9.312865,-9.163412,-10.82081,-8.062596,-10.25861,-7.930461
GFJPDDAG_01595 Hopanoid C-2 methylase,-13.49942,-13.11322,-14.34535,-14.92487,-14.92058,-15.07426,-16.22499,-14.41333,-12.89839,-13.4772,-13.62945,-13.10177
GFJPDDAG_01615 Putative aminopeptidase YsdC,-8.35635,-9.301361,-8.318154,-8.760457,-8.535563,-7.885742,-8.67255,-8.446373,-8.81964,-8.798971,-8.069869,-8.08581
GFJPDDAG_01639 hypothetical protein,-11.41104,-9.194435,-11.61988,-14.04525,-12.51725,-13.64002,-11.95967,-13.25162,-12.09113,-11.75054,-13.44514,-13.13282
GFJPDDAG_01684 Dipeptide-binding protein DppE,-3.094673,-2.418359,-3.141624,-2.578382,-4.161777,-3.56329,-2.871184,-3.281917,-2.709515,-3.675699,-3.294162,-3.359545
GFJPDDAG_01718 Cyclodextrin-binding protein,-13.17224,-12.12138,-12.56962,-14.47618,-15.03257,-15.71723,-14.82246,-14.96681,-13.34597,-14.46294,-16.59086,-14.10415
GFJPDDAG_01895 Glyoxal reductase,-12.52701,-10.64908,-12.01616,-14.35459,-13.82034,-13.21867,-10.38461,-13.87659,-15.52669,-15.66977,-13.18631,-15.66469
GFJPDDAG_01931 hypothetical protein,-15.25541,-15.78058,-16.65277,-14.37254,-12.74074,-14.74756,-15.50802,-11.39882,-11.60466,-11.69352,-11.4648,-11.64772
GFJPDDAG_01937 Multiple sugar-binding protein,-7.053,-8.312414,-6.878401,-10.28154,-8.282277,-7.83493,-5.410055,-7.47619,-5.819757,-7.766898,-4.537276,-6.481371
GFJPDDAG_01989 hypothetical protein,-11.79577,-13.76724,-12.18435,-12.60371,-11.85246,-11.31682,-12.83832,-12.70674,-12.69083,-11.63525,-11.35397,-11.27679
GFJPDDAG_02057 Phosphate-binding protein PstS 1,-10.98897,-11.62962,-11.02587,-10.15642,-10.80503,-10.80184,-10.80245,-11.16215,-10.73141,-10.88734,-11.5264,-10.87909
GFJPDDAG_02060 Superoxide dismutase [Mn],-2.393993,-3.066091,-2.170841,-4.267007,-3.128796,-3.324824,-3.478634,-3.399735,-4.044257,-3.563413,-3.261039,-2.829836
GFJPDDAG_02169 putative ABC transporter ATP-binding protein YxlF,-11.67496,-11.09015,-11.13608,-15.90164,-13.62752,-12.02804,-14.30616,-14.70285,-14.44346,-14.82708,-15.40107,-16.69187
GFJPDDAG_02184 hypothetical protein,-13.31863,-12.81796,-12.82523,-13.91255,-14.30184,-14.2514,-13.98667,-13.49246,-15.28847,-13.80628,-15.19035,-14.35335
GFJPDDAG_02254 L-cystine-binding protein FliY,-6.367684,-9.752847,-6.291872,-5.620228,-5.990557,-5.386929,-5.588975,-5.43317,-5.913459,-4.820636,-4.824281,-3.976093
GFJPDDAG_02273 Fumarate reductase flavoprotein subunit,-11.83623,-10.52305,-11.97725,-13.70568,-14.23124,-12.28379,-17.16158,-15.83723,-13.22598,-12.46867,-16.04566,-15.34447
GFJPDDAG_02285 hypothetical protein,-9.623682,-9.144361,-9.75344,-9.953958,-16.53923,-11.29798,-11.10772,-11.1483,-13.37017,-12.09669,-15.77582,-11.7605
GFJPDDAG_02302 Putative aminopeptidase YsdC,-10.5468,-10.74541,-11.21603,-10.04062,-9.581754,-9.135327,-11.36321,-11.18979,-10.99784,-9.571809,-10.95061,-10.54956
GFJPDDAG_02417 D-methionine-binding lipoprotein MetQ,-7.107844,-10.1947,-8.441177,-14.92276,-15.48108,-12.03153,-13.17444,-13.9567,-14.2008,-15.45191,-15.95608,-14.93401
GFJPDDAG_02425 1-pyrroline-5-carboxylate dehydrogenase 1,-4.196018,-5.276595,-4.55608,-4.138895,-3.788391,-3.937339,-6.209913,-5.748514,-5.417939,-2.904463,-3.084239,-3.36992
GFJPDDAG_02441 Arylesterase,-11.27142,-10.88123,-11.00767,-15.89701,-15.97009,-14.42518,-15.16286,-15.31688,-13.03482,-14.87675,-14.29782,-14.50638
GFJPDDAG_02507 Putative aminopeptidase YsdC,-10.20469,-10.74219,-11.08882,-9.033402,-9.087807,-8.511395,-10.50948,-9.920393,-10.55949,-9.111762,-10.29202,-10.16278
GFJPDDAG_02601 N5-carboxyaminoimidazole ribonucleotide mutase,-11.55774,-7.932015,-9.985374,-14.92792,-15.45275,-12.05448,-14.51928,-14.88041,-12.28471,-12.27063,-10.77871,-16.31224
GFJPDDAG_02683 Sodium/proton-dependent alanine carrier protein,-12.26421,-11.30335,-12.88546,-15.84273,-15.2197,-13.72545,-15.02577,-13.31236,-14.67851,-15.05506,-14.64314,-14.30671
GFJPDDAG_02778 Swarming motility protein SwrC,-15.36136,-13.85543,-14.08292,-5.874906,-14.41284,-15.35786,-14.10825,-12.78095,-13.62167,-7.880262,-10.0677,-10.53379
GFJPDDAG_02854 General stress protein 18,-8.717463,-8.477077,-8.618545,-13.36629,-13.89888,-14.32011,-15.52921,-13.72266,-14.15876,-14.43012,-14.04957,-15.07728
GFJPDDAG_02879 hypothetical protein,-11.75687,-9.73296,-10.78936,-14.68804,-15.37848,-15.01581,-15.04456,-13.26251,-13.39399,-15.42781,-15.27868,-14.58507
GFJPDDAG_03027 hypothetical protein,-11.15676,-13.01422,-10.01849,-11.99449,-13.79296,-12.18002,-14.10761,-13.29796,-13.14806,-10.91748,-10.93013,-11.93027
GFJPDDAG_03055 Spore coat protein A,-14.24545,-15.6212,-13.94288,-13.3545,-15.08858,-14.13164,-14.30701,-15.75921,-13.82719,-14.14194,-14.06093,-14.73897
GFJPDDAG_03086 hypothetical protein,-11.39768,-9.351904,-10.359,-15.04928,-13.46991,-14.4488,-14.4666,-13.07668,-14.60769,-14.34933,-13.75426,-14.96373
GFJPDDAG_03145 Trifunctional nucleotide phosphoesterase protein YfkN,-7.176277,-7.652456,-6.743125,-11.52296,-11.08097,-10.25685,-9.760539,-10.99347,-9.35534,-10.27129,-7.975323,-9.954762
GFJPDDAG_03179 Flagellin,-1.813348,-1.184783,-1.945606,-2.149793,-3.217422,-1.652696,-2.237101,-3.122921,-2.945692,-2.081804,-3.651345,-3.278662
GFJPDDAG_03233 N-acetylmuramoyl-L-alanine amidase A,-12.08211,-9.958061,-9.597141,-14.5788,-13.72513,-14.88706,-13.38409,-13.82194,-14.0371,-16.2659,-15.02332,-14.92728
"GFJPDDAG_03277 2,3-bisphosphoglycerate-independent phosphoglycerate mutase",-11.63816,-11.39508,-12.3561,-11.23495,-11.79169,-11.75218,-11.80386,-12.45543,-11.41498,-11.27918,-10.9002,-12.25691
GFJPDDAG_03319 Bacillolysin,-12.12431,-12.15132,-11.75017,-14.14247,-14.46744,-14.85223,-14.66691,-14.51131,-13.55564,-15.99031,-15.9426,-15.36947
GFJPDDAG_03377 Glycine cleavage system H protein,-9.791369,-8.007875,-9.31294,-14.60128,-13.73427,-14.01856,-10.30463,-14.21871,-10.07811,-15.34718,-14.08603,-15.8055
GFJPDDAG_03400 hypothetical protein,-12.69059,-10.91329,-12.6626,-13.80035,-15.25346,-11.0266,-15.23535,-14.77519,-15.18432,-13.24327,-14.3878,-14.1923
GFJPDDAG_03685 ATP synthase subunit alpha,-12.65427,-11.49343,-12.52177,-11.25233,-12.69946,-10.27384,-15.21291,-14.30563,-12.59092,-11.96527,-15.20196,-12.90711
GFJPDDAG_03687 ATP synthase subunit beta,-10.94738,-9.52951,-11.2517,-9.698014,-12.20221,-9.516935,-13.08277,-14.74998,-13.41103,-10.31061,-13.583,-14.36671
GFJPDDAG_03704 3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,-11.70721,-10.60001,-9.475982,-13.80124,-13.86001,-12.58386,-14.88689,-14.42566,-14.7545,-12.61023,-10.53578,-12.45965
GFJPDDAG_03743 Beta-N-acetylglucosaminidase,-14.10944,-14.30554,-14.13753,-15.23302,-15.04456,-15.10544,-13.93192,-12.62659,-14.74544,-15.12366,-15.12833,-14.93176
GFJPDDAG_03838 Mercuric reductase,-14.58753,-16.35459,-14.78958,-15.35121,-14.77543,-14.29347,-14.26599,-12.01737,-12.47723,-15.47451,-16.72181,-15.07844
GFJPDDAG_03960 Bacterial non-heme ferritin,-9.640997,-8.81782,-9.359933,-7.498879,-8.439485,-7.420015,-11.56321,-13.14897,-13.05563,-8.615733,-8.119173,-6.973582
GFJPDDAG_04002 Periplasmic dipeptide transport protein,-4.754594,-5.408793,-5.669746,-5.043953,-5.458592,-5.590318,-6.640977,-5.898607,-6.392601,-5.353566,-4.738091,-4.889965
GFJPDDAG_04069 Pullulanase,-11.6127,-11.63303,-10.69696,-16.36704,-14.80766,-14.20859,-14.72312,-13.19445,-14.42581,-15.37212,-14.70256,-15.05529
