Fasta headers,P,P,P,TPA,TPA,TPA,BHET,BHET,BHET,PET,PET,PET,PETB,PETB,PETB
DMKJLJHC_00003 Ferredoxin--NAD(P)(+) reductase fdr,23.05136,23.199,22.95289,23.23425,23.25028,23.52025,23.23728,23.08821,23.08289,23.20298,23.4467,23.05973,21.15112,22.28977,22.34671
DMKJLJHC_00005 Putative pterin-4-alpha-carbinolamine dehydratase,21.88398,21.00683,21.03046,20.07627,20.58957,21.13283,19.81903,21.08699,20.61432,21.17268,20.82532,20.05113,22.30675,22.22443,21.91545
DMKJLJHC_00006 Small-conductance mechanosensitive channel,22.90193,22.76668,22.99941,22.6765,22.69228,22.98553,22.36656,22.50446,22.18168,22.5991,22.68682,22.83071,22.95372,21.59003,20.88578
DMKJLJHC_00009 hypothetical protein,24.66974,25.13183,24.85457,24.79976,24.77213,24.90353,24.76461,25.0974,24.93782,24.94051,25.00603,24.95425,22.60943,21.28035,20.94539
DMKJLJHC_00010 Chromosome partition protein Smc,20.05629,20.34224,20.41751,18.51191,19.66052,20.31893,20.43217,21.08887,20.7554,20.42193,20.32509,20.98732,22.0261,21.70409,21.32355
DMKJLJHC_00015 Disulfide-bond oxidoreductase YfcG,22.06214,21.97684,21.92709,21.43593,21.89086,21.71699,22.10901,22.22647,22.1753,21.59459,21.50727,21.72272,21.66378,23.20853,21.0294
DMKJLJHC_00018 Methionine aminopeptidase,22.92078,22.81071,23.06118,22.20729,22.19084,22.27799,22.76018,22.50611,22.80837,22.26674,22.56467,22.14743,22.18201,22.73693,21.50057
"DMKJLJHC_00023 2,4-dienoyl-CoA reductase [NADPH]",25.39189,25.40775,25.45529,26.4499,26.50413,26.50705,27.05827,27.13153,27.07102,26.58692,26.44003,26.49735,23.86117,22.36528,21.49688
DMKJLJHC_00025 hypothetical protein,21.79388,21.02479,21.63914,20.66727,23.53611,21.83611,20.20515,20.62355,21.52803,20.15507,20.47885,21.07809,21.33742,23.93591,21.92016
DMKJLJHC_00029 hypothetical protein,22.6034,22.08894,22.39223,21.92445,22.25785,22.52733,21.81726,22.02049,21.79717,22.50169,22.75699,22.80515,22.12328,21.74601,21.52864
DMKJLJHC_00031 Mercuric reductase,22.18858,22.50531,22.31819,22.43122,22.42021,22.08628,21.79479,19.45306,21.05722,22.64845,22.54097,22.69846,23.0545,22.55569,20.77719
DMKJLJHC_00033 Phosphoserine phosphatase,22.0212,22.21095,22.6396,20.6754,18.02472,19.69754,23.05785,20.52251,19.64423,21.77973,19.47944,21.84995,22.04713,20.97696,21.22834
DMKJLJHC_00034 Phosphoserine aminotransferase,26.24954,26.11269,26.18319,25.02682,25.31202,25.36018,25.4338,25.58483,25.5125,25.52406,25.46799,25.32584,22.82213,21.14523,21.83299
DMKJLJHC_00035 D-3-phosphoglycerate dehydrogenase,27.80661,27.80741,27.72221,26.53273,26.38806,26.33979,26.18499,26.22334,26.05832,26.31736,26.24623,26.34773,24.95434,21.20584,23.95136
DMKJLJHC_00037 Beta-ketothiolase BktB,25.22766,25.08639,25.17798,25.9911,26.11527,26.18327,27.53297,27.74349,27.62115,26.21227,26.16018,26.08572,26.43867,21.51753,25.66546
DMKJLJHC_00042 hypothetical protein,21.13946,21.87305,22.6926,22.70094,22.77905,19.70737,21.87222,20.94857,19.50107,19.89815,22.09307,19.33962,21.56533,22.09713,22.17961
DMKJLJHC_00047 Farnesyl diphosphate synthase,22.74595,22.55742,22.73643,22.66993,22.55971,22.55091,22.69526,23.00472,22.59028,22.3139,22.60775,22.48402,21.74797,22.11378,22.65777
DMKJLJHC_00048 1-deoxy-D-xylulose-5-phosphate synthase,24.67691,24.5354,24.52677,23.87136,23.87793,23.81939,23.80035,23.73903,24.07153,23.75185,23.93031,23.95473,22.26974,21.82487,22.39806
DMKJLJHC_00051 S-formylglutathione hydrolase,24.04835,23.92207,23.86136,24.21963,24.33926,24.31631,24.23155,24.4025,24.46008,24.26607,24.49399,24.46973,21.5819,22.02854,22.48601
DMKJLJHC_00054 hypothetical protein,22.18238,22.3235,22.24606,22.40432,22.54272,22.61423,22.24928,21.89611,22.19622,22.78437,22.38477,22.91254,22.25316,21.96116,21.31448
DMKJLJHC_00058 Nicotinate phosphoribosyltransferase,24.05846,24.08253,24.09692,23.79124,23.81499,23.75532,23.82104,23.68966,23.85472,23.83884,23.87802,23.78676,21.37844,22.03368,21.92709
DMKJLJHC_00060 hypothetical protein,21.65158,21.42711,20.88278,20.60865,20.62176,20.78572,20.94842,20.316,20.22194,20.75784,18.98531,19.05617,20.84359,21.90199,21.37729
DMKJLJHC_00095 Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,25.49296,25.78743,25.41193,24.55286,24.70033,24.81397,25.33998,25.27853,25.33306,24.77686,25.12637,25.04256,21.76336,22.12085,21.91253
DMKJLJHC_00096 Dihydrofolate synthase/folylpolyglutamate synthase,23.20534,23.28404,23.11281,22.6808,23.13768,22.78313,22.92816,23.27227,23.23008,22.80729,23.06605,23.041,22.1698,22.01151,22.84901
DMKJLJHC_00097 Alkanal monooxygenase alpha chain,19.58981,21.0454,20.48151,20.74944,21.2828,20.92687,21.49458,22.01264,22.06062,19.4923,20.60909,20.83931,21.76356,21.32202,22.2923
DMKJLJHC_00101 Disulfide bond formation protein D,23.63001,23.66145,23.83258,23.43632,23.35057,23.28306,23.08042,23.54026,23.10623,23.44127,23.31202,23.46176,21.83781,20.82875,21.60217
DMKJLJHC_00104 hypothetical protein,22.97647,22.67431,23.45249,20.63675,19.69625,21.75687,20.82167,20.94902,21.74526,22.30092,19.04522,19.56583,23.06809,20.9067,21.94215
DMKJLJHC_00105 hypothetical protein,22.87309,22.71179,22.72244,23.22086,23.2476,23.34706,23.31202,23.33388,23.4381,23.46538,23.29684,23.37385,21.15595,21.83444,21.78871
DMKJLJHC_00106 Cell division protein ZapE,23.64911,23.53588,23.54922,23.16348,23.41519,23.47766,23.93805,23.76557,23.91178,23.50179,23.36172,23.23327,21.80114,22.46416,21.78854
DMKJLJHC_00109 LPS-assembly lipoprotein LptE,22.1254,21.72013,22.54021,21.88826,22.12588,22.72094,22.27881,22.29617,21.93531,21.78477,20.67243,21.92854,21.70384,22.41492,21.42362
DMKJLJHC_00110 Leucine--tRNA ligase,26.94503,26.89157,27.00678,26.16285,26.00024,26.06928,25.93012,25.86526,25.94519,26.24525,26.14994,26.32603,21.80194,22.69279,21.5475
DMKJLJHC_00111 hypothetical protein,24.51827,24.54851,24.7033,24.28461,24.53148,24.39598,24.50428,24.63389,24.38726,24.19888,24.366,24.33197,24.47809,21.89708,24.73268
DMKJLJHC_00112 Porin,30.85311,30.78535,31.11023,30.74166,30.63443,30.54959,29.98074,30.47073,30.42822,30.36776,30.68529,30.82896,30.30291,29.91342,29.85746
DMKJLJHC_00113 hypothetical protein,20.97302,20.78843,20.68902,20.18495,20.13057,19.82575,20.56793,20.39895,20.20371,20.67788,19.98426,20.37867,22.34997,22.09128,20.93805
DMKJLJHC_00115 GTP cyclohydrolase-2,22.07428,22.11896,22.05956,20.23601,20.22616,20.60088,19.84845,19.88485,20.13578,19.5836,19.74289,19.54483,21.99177,21.40333,21.32455
DMKJLJHC_00116 Transcriptional regulatory protein WalR,25.38995,25.45209,25.3535,24.08772,23.80104,24.34584,23.95784,24.04126,23.83904,23.92397,23.95766,23.5254,24.43409,22.10173,22.59548
DMKJLJHC_00118 hypothetical protein,21.04367,21.06776,21.08063,21.56011,20.72009,20.97687,21.07078,21.70299,21.52301,21.29614,20.82159,20.921,21.93415,22.23686,22.34992
DMKJLJHC_00120 putative zinc protease,19.74305,20.3739,19.93593,21.03926,20.76133,20.794,22.031,22.43903,21.95202,20.80073,20.89475,20.57773,22.74138,21.13955,20.44275
DMKJLJHC_00121 putative zinc protease,23.12133,23.11602,22.88069,22.92466,23.00861,22.14289,23.84575,23.8468,23.8224,22.50797,22.59614,22.4662,22.00161,21.33113,21.90151
DMKJLJHC_00122 hypothetical protein,23.90353,23.89152,23.99265,24.03691,24.13258,24.11362,23.94592,23.93589,23.95704,23.94762,23.9358,23.97229,24.01316,21.52634,21.88715
