All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         TARA_MED_RAW
# misassemblies                  0           
  # contig misassemblies         0           
    # c. relocations             0           
    # c. translocations          0           
    # c. inversions              0           
  # scaffold misassemblies       0           
    # s. relocations             0           
    # s. translocations          0           
    # s. inversions              0           
# misassembled contigs           0           
Misassembled contigs length      0           
# possibly misassembled contigs  489         
    # possible misassemblies     613         
# local misassemblies            0           
# scaffold gap ext. mis.         0           
# scaffold gap loc. mis.         0           
# unaligned mis. contigs         4           
# mismatches                     810         
# indels                         1           
    # indels (<= 5 bp)           1           
    # indels (> 5 bp)            0           
Indels length                    1           
