Fasta headers,P,P,P,TPA,TPA,TPA,BHET,BHET,BHET,PET,PET,PET,PETB,PETB,PETB,P_relabun,TPA_relabun,BHET_relabun,PET_relabun,PETB_relabun,P,TPA,BHET,PET,PETB,P_sd,TPA_sd,BHET_sd,PET_sd,PETB_sd,P_TPA_fc,P_BHET_fc,P_PET_fc,P_PETB_fc,TPA_BHET_fc,TPA_PET_fc,TPA_PETB_fc,BHET_PET_fc,BHET_PETB_fc,PET_PETB_fc,P_TPA_ttest,P_BHET_ttest,P_PET_ttest,P_PETB_ttest,P_TPA_ttest_sig,P_BHET_ttest_sig,P_PET_ttest_sig,P_PETB_ttest_sig,TPA_BHET_ttest,TPA_PET_ttest,TPA_PETB_ttest,TPA_BHET_ttest_sig,TPA_PET_ttest_sig,TPA_PETB_ttest_sig,BHET_PET_ttest,BHET_PETB_ttest,BHET_PET_ttest_sig,BHET_PETB_ttest_sig,PET_PETB_ttest,PET_PETB_ttest_sig
DMKJLJHC_00003 Ferredoxin--NAD(P)(+) reductase fdr,23.05136,23.199,22.95289,23.23425,23.25028,23.52025,23.23728,23.08821,23.08289,23.20298,23.4467,23.05973,21.15112,22.28977,22.34671,0.009910132343116036,0.013083521496635588,0.011602639431218285,0.012084131653673034,0.014087387800939025,23.06775,23.334926666666664,23.136126666666666,23.23647,21.929199999999998,0.1011401901652692,0.1312066909709855,0.07155917473594012,0.15974485969820806,0.5506764965022579,0.2671766666666642,0.06837666666666564,0.16872000000000043,-1.1385500000000022,-0.19879999999999853,-0.09845666666666375,-1.4057266666666663,0.10034333333333478,-1.2069266666666678,-1.3072700000000026,0.08471257196948008,0.4787079762484985,0.27552168956474477,0.045201447929885015,,,,+,0.13310014469047307,0.5375080929531386,0.024631918780434636,,,+,0.46301047637144416,0.03715836018820474,,+,0.03214819350366545,+
DMKJLJHC_00005 Putative pterin-4-alpha-carbinolamine dehydratase,21.88398,21.00683,21.03046,20.07627,20.58957,21.13283,19.81903,21.08699,20.61432,21.17268,20.82532,20.05113,22.30675,22.22443,21.91545,0.0029246101443861556,0.0019646999453167145,0.0018751869866979723,0.0020585310863553965,0.01640437679597731,21.307090000000002,20.59955666666667,20.50678,20.683043333333334,22.148876666666666,0.40803688419880213,0.4313966145233657,0.5231980371395386,0.46879319394471664,0.16844415916129524,-0.707533333333334,-0.8003100000000032,-0.6240466666666684,0.841786666666664,-0.09277666666666917,0.0834866666666656,1.549319999999998,0.17626333333333477,1.6420966666666672,1.4658333333333324,0.16725366285197335,0.1632379456204921,0.2286273019074355,0.05427448920085486,,,,,0.8560058907120635,0.8619904692373801,0.009096397263864662,,,+,0.7406281359542524,0.013423197947579216,,+,0.014127912837963367,+
DMKJLJHC_00006 Small-conductance mechanosensitive channel,22.90193,22.76668,22.99941,22.6765,22.69228,22.98553,22.36656,22.50446,22.18168,22.5991,22.68682,22.83071,22.95372,21.59003,20.88578,0.008757349706665408,0.008935338163873137,0.0067325566447972735,0.008363548813596067,0.01296882211269221,22.88934,22.784769999999998,22.3509,22.705543333333335,21.809843333333333,0.09542778875498828,0.14210485635614295,0.13223882132969436,0.0954767700659286,0.8584219580266005,-0.1045700000000025,-0.5384400000000014,-0.18379666666666594,-1.0794966666666674,-0.43386999999999887,-0.07922666666666345,-0.9749266666666649,0.3546433333333354,-0.5410566666666661,-0.8957000000000015,0.4363469608736609,0.009522350281903251,0.1264633686844563,0.15187533956942742,,+,,,0.03415376755347365,0.5485383802301316,0.18823749104793958,+,,,0.037112527595371265,0.428083853194073,+,,0.21637880580778696,
DMKJLJHC_00009 hypothetical protein,24.66974,25.13183,24.85457,24.79976,24.77213,24.90353,24.76461,25.0974,24.93782,24.94051,25.00603,24.95425,22.60943,21.28035,20.94539,0.034933379771543316,0.03675560414587582,0.04032300158025189,0.04009920980118015,0.011304737193117276,24.885379999999998,24.82514,24.933276666666668,24.96693,21.611723333333334,0.18990126223909104,0.05656617540544869,0.13589892673928225,0.028211160911951066,0.7186160286427116,-0.06023999999999674,0.04789666666667003,0.08155000000000356,-3.273656666666664,0.10813666666666677,0.1417900000000003,-3.2134166666666673,0.033653333333333535,-3.321553333333334,-3.3552066666666676,0.6893855540982307,0.7861807080383267,0.580406867905644,0.0033838065344970612,,,,+,0.3575210223967176,0.03378440479663146,0.0032361425885473246,,+,+,0.748937340123812,0.0030207816649299632,,+,0.002733964660422271,+
DMKJLJHC_00010 Chromosome partition protein Smc,20.05629,20.34224,20.41751,18.51191,19.66052,20.31893,20.43217,21.08887,20.7554,20.42193,20.32509,20.98732,22.0261,21.70409,21.32355,0.0014271803501933157,0.0009150181908729076,0.0022331308626319856,0.0019141252502994247,0.011890291794667775,20.272013333333334,19.497120000000002,20.758813333333332,20.578113333333334,21.68458,0.1556037930843016,0.746706095729773,0.2681075165343605,0.2920411711081547,0.2871464268742802,-0.7748933333333312,0.4867999999999988,0.3061000000000007,1.4125666666666667,1.26169333333333,1.080993333333332,2.187459999999998,-0.18069999999999808,0.925766666666668,1.106466666666666,0.22415092886885005,0.09052778734527236,0.26091898622246884,0.0036176336053087652,,,,+,0.08774323016648043,0.12923776411255206,0.018041754863654818,,,+,0.5542935307772903,0.029034879259148112,,+,0.01876835256040425,+
DMKJLJHC_00015 Disulfide-bond oxidoreductase YfcG,22.06214,21.97684,21.92709,21.43593,21.89086,21.71699,22.10901,22.22647,22.1753,21.59459,21.50727,21.72272,21.66378,23.20853,21.0294,0.004690833597952164,0.0041583532801157015,0.005940212176029036,0.003908906931171889,0.014463741378779971,21.988690000000002,21.681259999999998,22.170260000000003,21.608193333333332,21.967236666666665,0.05576703028373175,0.1874349681000501,0.048085091937798925,0.08848149951009862,0.9151380043954516,-0.30743000000000364,0.18157000000000068,-0.38049666666666937,-0.0214533333333371,0.4890000000000043,-0.07306666666666572,0.28597666666666655,-0.56206666666667,-0.20302333333333777,0.35904333333333227,0.09028359371988343,0.0251873147966571,0.0067682135938272854,0.9751869295071924,,+,+,,0.023296034415945303,0.6442729370353457,0.6873752064406877,+,,,0.0013932098682078807,0.7697016716210976,+,,0.6101661493810997,
DMKJLJHC_00018 Methionine aminopeptidase,22.92078,22.81071,23.06118,22.20729,22.19084,22.27799,22.76018,22.50611,22.80837,22.26674,22.56467,22.14743,22.18201,22.73693,21.50057,0.00901323073619634,0.00606339438426798,0.008525637981009427,0.006430147813362142,0.016301907516466284,22.93089,22.225373333333334,22.69155333333333,22.326279999999997,22.139836666666667,0.10250354237781246,0.03780684094475696,0.1325958557254167,0.17546331639405427,0.5056220294075632,-0.7055166666666679,-0.23933666666667008,-0.6046100000000045,-0.791053333333334,0.4661799999999978,0.10090666666666337,-0.08553666666666615,-0.36527333333333445,-0.551716666666664,-0.18644333333332952,0.0007977420351783326,0.11355336710311384,0.013611270124779471,0.09597677507706681,+,,+,,0.008765774664078917,0.4710945751758358,0.823157005930397,+,,,0.07861685469594827,0.2098103039250065,,,0.6480731870844323,
"DMKJLJHC_00023 2,4-dienoyl-CoA reductase [NADPH]",25.39189,25.40775,25.45529,26.4499,26.50413,26.50705,27.05827,27.13153,27.07102,26.58692,26.44003,26.49735,23.86117,22.36528,21.49688,0.05054387340927887,0.11630578091468873,0.17941969609707462,0.11670090202250451,0.02203271759793805,25.41831,26.48702666666667,27.086940000000002,26.5081,22.574443333333335,0.026938512703315723,0.02627956916609481,0.03195665501894763,0.06044744218465007,0.9764830689890239,1.068716666666667,1.6686300000000003,1.0897899999999971,-2.843866666666667,0.5999133333333333,0.02107333333333017,-3.912583333333334,-0.5788400000000031,-4.512496666666667,-3.933656666666664,2.2969840283406947e-06,5.892302560529169e-07,2.0149517882594982e-05,0.014646706726797876,+,+,+,+,3.340494856409984e-05,0.6745991842966608,0.004789347881364048,+,,+,0.0002789386529221758,0.002838079480476958,+,+,0.004723373555815374,+
DMKJLJHC_00025 hypothetical protein,21.79388,21.02479,21.63914,20.66727,23.53611,21.83611,20.20515,20.62355,21.52803,20.15507,20.47885,21.07809,21.33742,23.93591,21.92016,0.003310596056212986,0.005234006309014407,0.0022749441533838717,0.0019042750870078406,0.019494053651540215,21.485936666666664,22.013163333333335,20.785576666666667,20.570670000000003,22.39783,0.3321428438020146,1.177871427203421,0.5520823333123023,0.3823738697487929,1.1133026068714047,0.527226666666671,-0.7003599999999963,-0.9152666666666605,0.9118933333333352,-1.2275866666666673,-1.4424933333333314,0.38466666666666427,-0.21490666666666414,1.6122533333333315,1.8271599999999957,0.5752623746700254,0.19904060709648788,0.06292999180191956,0.3292230595384981,,,,,0.2529157933179408,0.1748406804001425,0.7540028099321794,,,,0.6743257795271929,0.1404413368065238,,,0.09315505449862266,
DMKJLJHC_00029 hypothetical protein,22.6034,22.08894,22.39223,21.92445,22.25785,22.52733,21.81726,22.02049,21.79717,22.50169,22.75699,22.80515,22.12328,21.74601,21.52864,0.0060741294583336845,0.006110522143241856,0.004851938048458042,0.008262138446699582,0.01287447961667151,22.361523333333334,22.236543333333334,21.878306666666663,22.687943333333333,21.799310000000002,0.2111467853308582,0.24658542013310933,0.10087278203537034,0.13316049097069133,0.24566895055473964,-0.12498000000000076,-0.48321666666667085,0.3264199999999988,-0.5622133333333323,-0.3582366666666701,0.4513999999999996,-0.4372333333333316,0.8096366666666697,-0.0789966666666615,-0.8886333333333312,0.6150591055859447,0.04322919000354594,0.13810881749499138,0.07010898508779494,,+,,,0.12999950168770352,0.0849796493576143,0.15030496706499,,,,0.0023719748469451284,0.6956135354022763,+,,0.010844776958614752,+
