Fasta headers,P,P,P,TPA,TPA,TPA,BHET,BHET,BHET,PET,PET,PET,PETB,PETB,PETB,P_relabun,TPA_relabun,BHET_relabun,PET_relabun,PETB_relabun,P,TPA,BHET,PET,PETB,P_sd,TPA_sd,BHET_sd,PET_sd,PETB_sd,P_TPA_fc,P_BHET_fc,P_PET_fc,P_PETB_fc,TPA_BHET_fc,TPA_PET_fc,TPA_PETB_fc,BHET_PET_fc,BHET_PETB_fc,PET_PETB_fc,P_TPA_ttest,P_BHET_ttest,P_PET_ttest,P_PETB_ttest,P_TPA_ttest_sig,P_BHET_ttest_sig,P_PET_ttest_sig,P_PETB_ttest_sig,TPA_BHET_ttest,TPA_PET_ttest,TPA_PETB_ttest,TPA_BHET_ttest_sig,TPA_PET_ttest_sig,TPA_PETB_ttest_sig,BHET_PET_ttest,BHET_PETB_ttest,BHET_PET_ttest_sig,BHET_PETB_ttest_sig,PET_PETB_ttest,PET_PETB_ttest_sig
GFJPDDAG_00023 RNA polymerase-associated protein RapA,19.65909,19.24892,20.08374,20.9259,20.29562,20.897,19.92986,20.07854,20.16462,21.32843,20.17286,23.19918,22.50375,20.97521,20.90178,0.0015557144989473328,0.006063729455129457,0.0021373571924167153,0.010050098551474877,0.05669960183631844,19.663916666666665,20.706173333333332,20.057673333333334,21.566823333333332,21.460246666666666,0.34083092644626956,0.29054469780435155,0.09696950631799353,1.2469367055931724,0.7384769895911151,1.0422566666666668,0.3937566666666683,1.9029066666666665,1.796330000000001,-0.6484999999999985,0.8606499999999997,0.7540733333333343,1.5091499999999982,1.4025733333333328,-0.10657666666666543,0.0301837482349371,0.19117395800981224,0.10580548434175555,0.03540914052784827,+,,,+,0.040171708525192855,0.3956181328295835,0.25017207147836196,+,,,0.16311745530739535,0.056207046982095846,,,0.9221728495787276,
GFJPDDAG_00024 Aminomethyltransferase,20.76552,19.20641,20.39193,20.85643,20.06783,20.32781,19.63308,20.82771,19.64662,20.10473,20.77861,20.85958,22.29504,20.75733,20.65674,0.0021360528235672637,0.004963606404579216,0.002105201064589891,0.005074577613610361,0.048549685076174014,20.121286666666666,20.417356666666667,20.035803333333334,20.580973333333336,21.236369999999997,0.6646512160190137,0.3281122207754871,0.5599898567136932,0.33837338314681675,0.7497182642833243,0.2960700000000003,-0.08548333333333247,0.4596866666666699,1.115083333333331,-0.38155333333333274,0.16361666666666963,0.8190133333333307,0.5451700000000024,1.2005666666666635,0.6553966666666611,0.6023292452128675,0.8960945403701068,0.4325960102001043,0.1906128691687319,,,,,0.4525049189638343,0.6491944627104094,0.22989888545231854,,,,0.303962309779627,0.14381056228744046,,,0.32283405870172077,
GFJPDDAG_00025 putative glycine dehydrogenase (decarboxylating) subunit 1,19.17264,20.50347,20.57348,21.55247,21.43923,21.2581,22.24232,21.52803,22.6352,21.42125,18.99478,20.73289,21.85704,21.49524,19.44089,0.0020803947821601745,0.00992200753617118,0.009021316781965699,0.004423804846835152,0.039289630611733475,20.083196666666666,21.4166,22.135183333333334,20.382973333333336,20.931056666666667,0.6444948577158871,0.12123671583586683,0.45830488486256477,1.021035559430828,1.0640088755373345,1.333403333333333,2.051986666666668,0.2997766666666699,0.8478600000000007,0.7185833333333349,-1.0336266666666631,-0.4855433333333323,-1.752209999999998,-1.2041266666666672,0.5480833333333308,0.04521965526286298,0.021400906763772393,0.7432144918643756,0.38968711549936713,+,+,,,0.09868440665438508,0.22818014835299127,0.5562837078587686,,,,0.09120622881790014,0.2155344728466602,,,0.6269450862856152,
GFJPDDAG_00027 putative adenylyltransferase/sulfurtransferase MoeZ,21.19526,21.78065,20.77402,20.67889,20.65466,20.70725,21.77475,20.40895,22.09217,21.32099,21.03036,19.71835,22.97583,19.33986,19.96472,0.004670695276856279,0.005955814084253564,0.005515320391720789,0.005472554474038483,0.03490003792346671,21.249976666666665,20.680266666666668,21.42529,20.689899999999998,20.760136666666668,0.41277227332055944,0.021491834625167083,0.7302506924794157,0.6971601925430523,1.5873636876770088,-0.569709999999997,0.1753133333333352,-0.5600766666666672,-0.4898399999999974,0.7450233333333323,0.00963333333332983,0.07986999999999966,-0.7353900000000024,-0.6651533333333326,0.07023666666666983,0.12306124547144114,0.7822704862912726,0.38361341557207723,0.6944751256990698,,,,,0.22270773088732523,0.9853519610910624,0.9466927812674313,,,,0.36116933852603467,0.618887998432075,,,0.9570595623445093,
GFJPDDAG_00029 Vitamin B12-dependent ribonucleoside-diphosphate reductase,24.53896,25.00672,23.81157,21.05967,21.09496,22.39203,23.38403,20.65317,23.71649,21.21264,19.60743,21.07743,22.19414,19.41305,21.26484,0.04299441394785085,0.010626432161814883,0.012318186999152407,0.005259094461614458,0.04001207008927246,24.452416666666668,21.515553333333333,22.584563333333335,20.6325,20.957343333333334,0.49174057661422405,0.619930026391867,1.3724291284515289,0.7269327409052363,1.1560077990029125,-2.936863333333335,-1.8678533333333327,-3.8199166666666677,-3.495073333333334,1.0690100000000022,-0.8830533333333328,-0.558209999999999,-1.952063333333335,-1.6272200000000012,0.3248433333333338,0.006301871022433882,0.14422399932813007,0.0035345189791472333,0.01703762490657116,+,,+,+,0.372233065402646,0.26123692354253014,0.5797434613124122,,,,0.1501129901823439,0.26896177233353125,,,0.7534666802637889,
GFJPDDAG_00030 hypothetical protein,24.64075,24.29207,25.41406,25.84986,26.35835,24.72203,26.42235,25.81142,26.0829,25.85146,26.75149,26.3623,21.26344,21.19524,20.38931,0.05403993339064834,0.18577922719654935,0.14140716017171773,0.2713600273367178,0.03979044234717155,24.78229333333333,25.64341333333333,26.10555666666667,26.321749999999998,20.94933,0.4688576730973081,0.6837889319730829,0.2499251349682332,0.3685527796666311,0.39697154415230684,0.8611199999999997,1.3232633333333368,1.5394566666666663,-3.832963333333332,0.4621433333333371,0.6783366666666666,-4.694083333333332,0.21619333333332946,-5.156226666666669,-5.372419999999998,0.21580165285110894,0.0244016609376079,0.02175969720060863,0.000910511804255897,,+,+,+,0.42008447640296537,0.2844228958270335,0.0011012005775226786,,,+,0.5300686669342123,9.998026804839892e-05,,+,0.00014990235794971405,+
GFJPDDAG_00034 Aminopeptidase YpdF,25.2149,26.91502,23.89578,24.83697,22.31346,25.1102,21.87519,20.41359,19.92267,24.10029,23.0745,19.95251,23.07581,19.35181,21.87269,0.07964769236299186,0.06315866271785664,0.0034231029833249487,0.01760704720552837,0.05565566739460145,25.3419,24.086876666666665,20.73715,22.375766666666667,21.433436666666665,1.2358665770489412,1.258946295765718,0.8292976517511672,1.7639332820779314,1.5517198239659402,-1.2550233333333338,-4.604749999999999,-2.9661333333333317,-3.9084633333333336,-3.3497266666666654,-1.711109999999998,-2.65344,1.6386166666666675,0.6962866666666656,-0.9423300000000019,0.3713057945418633,0.011917043125720025,0.12329525216198353,0.04949558502773561,,+,,+,0.03476882073425368,0.3266974032733971,0.13359567423672902,+,,,0.30023344483463704,0.6055605175186493,,,0.6008629820786693,
GFJPDDAG_00035 Elongation factor P,22.10604,22.20075,21.92857,21.44624,20.40804,20.87807,20.06336,19.58376,20.00584,21.29438,21.05341,20.00499,22.35287,21.22927,21.37635,0.008294264134833309,0.006987688934482919,0.0018953636782992312,0.005842453756990883,0.06479677171762327,22.078453333333332,20.910783333333335,19.88432,20.78426,21.652829999999998,0.11281624065512662,0.4244741308437482,0.21382137841353985,0.5597397817438626,0.4986315492090996,-1.1676699999999975,-2.1941333333333333,-1.2941933333333324,-0.42562333333333413,-1.0264633333333357,-0.12652333333333488,0.7420466666666634,0.8999400000000009,1.7685099999999991,0.8685699999999983,0.019778647338385434,0.00021241786113297624,0.0327321719248047,0.30431184374935294,+,+,+,,0.03787115285776914,0.8115055254067673,0.18429370454787278,+,,,0.10088128704981769,0.009956657855294994,,+,0.17663833727743625,
GFJPDDAG_00042 hypothetical protein,24.65704,23.17074,25.35104,24.3889,25.04568,24.14864,25.98759,26.3663,25.79216,21.0561,25.29358,25.07182,22.42274,20.14555,20.9381,0.04125796212044218,0.08573260366449859,0.1359411129887716,0.047487670340173,0.046328134940883926,24.39294,24.527739999999998,26.048683333333333,23.807166666666664,21.16879666666667,0.9094828677147626,0.37914605769632753,0.23833936789563068,1.9474034383820469,0.9438623798108617,0.13479999999999848,1.6557433333333336,-0.5857733333333357,-3.2241433333333305,1.520943333333335,-0.7205733333333342,-3.358943333333329,-2.2415166666666693,-4.879886666666664,-2.6383699999999948,0.8560174908343733,0.06744667054948221,0.7195386937503314,0.025382638147592597,,,,+,0.008629515196408729,0.6345744731407157,0.00951765359922576,+,,+,0.18145368041897617,0.002090525587294299,,+,0.15977098259927483,
GFJPDDAG_00043 Stage III sporulation protein AH,21.02025,19.22977,19.57524,20.39092,22.23335,21.52371,18.94661,20.36521,19.32854,20.91024,19.45127,20.15383,21.02128,20.45618,21.07432,0.0018861102265281917,0.009691312426977907,0.0014999780226676125,0.0038213818090012536,0.03715831986186048,19.941753333333335,21.38266,19.546786666666666,20.171780000000002,20.850593333333332,0.7755444002906754,0.7587526619832492,0.5993497563378356,0.5957572308135816,0.27973167921341285,1.4409066666666668,-0.3949666666666687,0.23002666666666727,0.9088399999999979,-1.8358733333333355,-1.2108799999999995,-0.5320666666666689,0.624993333333336,1.3038066666666666,0.6788133333333306,0.13356641883113418,0.5992397135291915,0.75610883182604,0.19401014367517136,,,,,0.05493369818546751,0.15053863011791616,0.4047940597603732,,,,0.3546379169769713,0.04942539573700607,,+,0.21843359095639947,
