Fasta headers,P,P,P,TPA,TPA,TPA,BHET,BHET,BHET,PET,PET,PET,P_relabun,TPA_relabun,BHET_relabun,PET_relabun,P,TPA,BHET,PET,P_sd,TPA_sd,BHET_sd,PET_sd,P_TPA_fc,P_BHET_fc,P_PET_fc,TPA_BHET_fc,TPA_PET_fc,BHET_PET_fc,P_TPA_ttest,P_BHET_ttest,P_PET_ttest,P_TPA_ttest_sig,P_BHET_ttest_sig,P_PET_ttest_sig,TPA_BHET_ttest,TPA_PET_ttest,TPA_BHET_ttest_sig,TPA_PET_ttest_sig,BHET_PET_ttest,BHET_PET_ttest_sig
GFJPDDAG_00064 Leucine dehydrogenase,-9.291571,-9.306263,-10.5209,-7.571241,-7.398817,-6.169972,-9.062002,-7.410198,-8.623004,-7.29313,-7.624799,-7.669505,0.152707087,1.45780632,0.684300613,0.966458126,-9.706244667,-7.046676667,-8.365068,-7.529144667,0.576079536,0.623907479,0.69857586,0.167882595,2.659568,1.341176667,2.1771,-1.318391333,-0.482468,0.835923333,0.01142958,0.104272594,0.006833284,+,,+,0.117364615,0.350507004,,,0.175229545,
GFJPDDAG_00070 Bacillopeptidase F,-5.703083,-7.186822,-5.076987,-10.00825,-8.832032,-8.858261,-7.294096,-8.6459,-8.045349,-8.431351,-8.284287,-8.801723,2.008501574,0.320329387,0.884329025,0.491116364,-5.988964,-9.232847667,-7.995115,-8.505787,0.884739846,0.548396799,0.553013625,0.21770093,-3.243883667,-2.006151,-2.516823,1.237732667,0.727060667,-0.510672,0.011625678,0.05302875,0.017445416,+,,+,0.087886141,0.156350826,,,0.291121849,
GFJPDDAG_00091 hypothetical protein,-11.47231,-13.32242,-11.04806,-15.10905,-13.76883,-13.30959,-15.20157,-13.89637,-13.23464,-15.36063,-12.02761,-11.92731,0.032295723,0.011264958,0.012752378,0.020259473,-11.94759667,-14.06249,-14.11086,-13.10518333,0.987455118,0.763409554,0.817193521,1.595367204,-2.114893333,-2.163263333,-1.157586667,-0.04837,0.957306667,1.005676667,0.074656374,0.075426678,0.432165182,,,,0.954158913,0.486657547,,,0.471927968,
GFJPDDAG_00304 hypothetical protein,-10.36785,-10.60144,-9.549654,-10.27725,-11.36409,-9.011414,-10.04812,-10.7615,-10.78992,-10.86941,-8.750708,-9.866041,0.110498773,0.161868151,0.152258022,0.196309804,-10.17298133,-10.21758467,-10.53318,-9.828719667,0.450957349,0.96140212,0.343185399,0.865358963,-0.044603333,-0.360198667,0.344261667,-0.315595333,0.388865,0.704460333,0.955481956,0.419526696,0.644021316,,,,0.684522896,0.692597806,,,0.344817836,
GFJPDDAG_00328 Purine nucleoside phosphorylase DeoD-type,-8.967468,-7.992603,-9.801153,-9.648284,-12.61784,-9.412348,-11.1038,-11.17408,-13.89723,-10.32026,-15.91395,-11.48235,0.26328105,0.127713688,0.052899582,0.029314071,-8.920408,-10.55949067,-12.05837,-12.57218667,0.73908694,1.458656444,1.300586892,2.410138298,-1.639082667,-3.137962,-3.651778667,-1.498879333,-2.012696,-0.513816667,0.229291057,0.041284495,0.109862498,,+,,0.339072493,0.369472188,,,0.803869194,
"GFJPDDAG_00362 6,7-dimethyl-8-ribityllumazine synthase",-9.005842,-9.020778,-10.07615,-10.31609,-13.22036,-9.135901,-13.71233,-14.09118,-12.74351,-16.01423,-9.993808,-11.63018,0.193109841,0.10150988,0.01926461,0.029849511,-9.36759,-10.89078367,-13.51567333,-12.54607267,0.501064684,1.71627619,0.56748509,2.541720519,-1.523193667,-4.148083333,-3.178482667,-2.624889667,-1.655289,0.969600667,0.294680788,0.001494266,0.157736438,,+,,0.109247101,0.487827065,,,0.626370418,
GFJPDDAG_00598 hypothetical protein,-7.861767,-7.143314,-6.89463,-11.45004,-10.0969,-9.317314,-9.176689,-8.611217,-8.832408,-9.963718,-9.026206,-9.557397,0.809543172,0.154148319,0.48107447,0.243864241,-7.299903667,-10.28808467,-8.873438,-9.515773667,0.410064009,0.881114344,0.232668923,0.383867654,-2.988181,-1.573534333,-2.21587,1.414646667,0.772311,-0.642335667,0.01217351,0.009172182,0.005060561,+,+,+,0.093139589,0.31924628,,,0.113017398,
GFJPDDAG_00683 hypothetical protein,-6.377779,-6.948219,-5.811974,-14.99049,-11.24167,-11.49649,-10.03166,-8.867233,-9.350777,-10.05905,-9.872015,-9.945169,1.532364589,0.031560395,0.33015456,0.179390964,-6.379324,-12.57621667,-9.416556667,-9.958744667,0.463871365,1.710315781,0.477645463,0.076957767,-6.196892667,-3.037232667,-3.579420667,3.15966,2.617472,-0.542188,0.007786833,0.002972094,0.000422121,+,+,+,0.065611533,0.096658291,,,0.18817379,
GFJPDDAG_00858 Carbon starvation protein A,-14.34886,-14.0022,-14.49892,-16.3013,-14.0071,-13.36998,-16.33473,-14.30725,-13.83497,-15.06744,-15.39864,-16.53222,0.006397646,0.007982275,0.007769945,0.003433329,-14.28332667,-14.55946,-14.82565,-15.6661,0.208012264,1.258831578,1.084359699,0.627187506,-0.276133333,-0.542323333,-1.382773333,-0.26619,-1.10664,-0.84045,0.774822202,0.525524172,0.041578095,,,+,0.831861473,0.328169817,,,0.396435903,
GFJPDDAG_00879 Putative cysteine protease YraA,-8.409585,-8.999107,-8.48533,-9.673762,-9.039813,-8.93016,-9.5936,-8.796784,-9.441145,-9.299377,-8.890973,-8.344641,0.321689985,0.324411618,0.363642774,0.388214739,-8.631340667,-9.214578333,-9.277176333,-8.844997,0.26188214,0.327763304,0.345343527,0.391122787,-0.583237667,-0.645835667,-0.213656333,-0.062598,0.369581333,0.432179333,0.120717046,0.102796515,0.55585947,,,,0.861544981,0.363621864,,,0.30645522,
GFJPDDAG_00909 L-cystine uptake protein TcyP,-9.503021,-11.02085,-9.963798,-11.69114,-13.94217,-9.443172,-15.29429,-13.89547,-12.59345,-11.08536,-14.05479,-13.20557,0.111300136,0.058246495,0.014478274,0.025348025,-10.16255633,-11.69216067,-13.92773667,-12.78190667,0.635389578,1.836708384,1.102849349,1.248731782,-1.529604333,-3.765180333,-2.619350333,-2.235576,-1.089746,1.14583,0.328069746,0.013878631,0.057346883,,+,,0.214050564,0.525939567,,,0.385804592,
GFJPDDAG_00927 Sulfite reductase [ferredoxin],-11.8912,-10.61431,-11.27258,-14.55203,-15.5395,-15.14046,-14.26499,-14.13472,-14.44014,-15.25992,-14.33748,-15.12537,0.052038394,0.005574838,0.01134201,0.005808309,-11.25936333,-15.07733,-14.27995,-14.90759,0.521371926,0.405596925,0.125135114,0.40685377,-3.817966667,-3.020586667,-3.648226667,0.79738,0.16974,-0.62764,0.001219751,0.001344847,0.001456484,+,+,+,0.056584964,0.697515196,,,0.105394125,
GFJPDDAG_00939 Serine-aspartate repeat-containing protein D,-11.10566,-13.15564,-10.92484,-13.60412,-15.74016,-13.80938,-14.91718,-13.7501,-12.47865,-13.83086,-13.12874,-13.17031,0.037586809,0.009011122,0.016775041,0.01678466,-11.72871333,-14.38455333,-13.71531,-13.37663667,1.011686299,0.962214457,0.995829603,0.321632444,-2.65584,-1.986596667,-1.647923333,0.669243333,1.007916667,0.338673333,0.054651754,0.118924372,0.093137202,,,,0.531839437,0.232728518,,,0.670938199,
GFJPDDAG_00981 General stress protein 18,-8.839947,-9.127038,-9.459221,-15.78174,-13.06936,-14.16247,-15.12552,-10.25331,-13.42942,-15.45102,-11.25063,-15.94511,0.225783963,0.009307562,0.028789505,0.009383469,-9.142068667,-14.33785667,-12.93608333,-14.21558667,0.253040856,1.114247632,2.019429519,2.106222093,-5.195788,-3.794014667,-5.073518,1.401773333,0.12227,-1.279503333,0.003007001,0.057800906,0.027727229,+,,+,0.438519744,0.945633279,,,0.56875445,
GFJPDDAG_01014 hypothetical protein,-10.56328,-12.26509,-10.27858,-13.88964,-14.4618,-10.03703,-13.90465,-14.20685,-12.88262,-16.19069,-10.0337,-13.46573,0.060767072,0.027097791,0.017373876,0.018579865,-11.03565,-12.79615667,-13.66470667,-13.23004,0.877080596,1.964930319,0.566613258,2.519099548,-1.760506667,-2.629056667,-2.19439,-0.86855,-0.433883333,0.434666667,0.311643035,0.02357083,0.309328556,,+,,0.580451377,0.857049416,,,0.823523217,
GFJPDDAG_01221 Glutamine synthetase,-10.74424,-8.541023,-10.40951,-10.61727,-12.49455,-10.72958,-15.26368,-13.99838,-13.51147,-9.866463,-10.26166,-11.12578,0.133677256,0.077482218,0.011517144,0.130485023,-9.898257667,-11.28046667,-14.25784333,-10.41796767,0.969390014,0.859710083,0.73848985,0.525860496,-1.382209,-4.359585667,-0.51971,-2.977376667,0.862499,3.839875667,0.205886568,0.0071844,0.541596619,,+,,0.020559716,0.292778173,+,,0.00390645,+
GFJPDDAG_01283 hypothetical protein,-10.19296,-10.86687,-9.715528,-14.115,-15.01674,-14.1421,-15.23556,-15.114,-13.92449,-13.44859,-13.9028,-15.05976,0.104142505,0.008764347,0.008142872,0.009908441,-10.25845267,-14.42461333,-14.75801667,-14.13705,0.472309268,0.418842926,0.591477943,0.67829295,-4.166160667,-4.499564,-3.878597333,-0.333403333,0.287563333,0.620966667,0.000733649,0.001095738,0.002675439,+,+,+,0.550804863,0.6368158,,,0.384417332,
GFJPDDAG_01303 Membrane lipoprotein TmpC,-11.47545,-10.82677,-10.872,-16.43864,-14.31195,-16.30764,-16.05523,-14.48829,-14.44972,-15.06121,-14.40178,-14.3926,0.059829892,0.00365579,0.006896229,0.007096846,-11.05807333,-15.68607667,-14.99774667,-14.61853,0.295706949,0.973124974,0.747919408,0.313044464,-4.628003333,-3.939673333,-3.560456667,0.68833,1.067546667,0.379216667,0.002999412,0.002279195,0.000305906,+,+,+,0.472089554,0.213757161,,,0.544484704,
GFJPDDAG_01357 Flagellar hook protein FlgE,-10.83029,-9.719898,-10.47748,-11.50348,-13.83968,-10.8763,-12.9597,-15.69369,-14.40836,-10.80975,-14.11881,-13.25694,0.098244986,0.04472801,0.010775163,0.02630396,-10.342556,-12.07315333,-14.35391667,-12.7285,0.463246488,1.275095039,1.116810455,1.401643356,-1.730597333,-4.011360667,-2.385944,-2.280763333,-0.655346667,1.625416667,0.145551857,0.009364174,0.084251766,,+,,0.129803067,0.650368427,,,0.268903982,
"GFJPDDAG_01424 Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit",-12.10986,-11.22127,-11.7555,-15.78488,-13.40643,-14.40787,-13.90447,-15.26422,-14.9444,-15.25245,-15.69589,-15.16896,0.038461005,0.008129688,0.008451404,0.004208408,-11.69554333,-14.53306,-14.70436333,-15.37243333,0.365234307,0.975024958,0.580484405,0.23124418,-2.837516667,-3.00882,-3.67689,-0.171303333,-0.839373333,-0.66807,0.018238463,0.003432878,0.000273841,+,+,+,0.841382491,0.301752044,,,0.205063391,
"GFJPDDAG_01425 Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit",-12.25158,-12.26312,-11.89268,-14.20828,-13.94874,-15.17305,-14.25446,-14.47134,-13.12049,-15.83605,-15.32563,-15.42173,0.028346025,0.008651218,0.01426879,0.003778739,-12.13579333,-14.44335667,-13.94876333,-15.52780333,0.17197163,0.52673809,0.592332547,0.221466037,-2.307563333,-1.81297,-3.39201,0.494593333,-1.084446667,-1.57904,0.004155773,0.014181019,6.85E-05,+,+,+,0.427388458,0.054999927,,,0.024203078,+
GFJPDDAG_01497 Cytochrome c oxidase subunit 1,-12.51009,-12.62458,-12.30287,-15.51284,-13.68747,-12.24284,-14.09168,-14.4606,-11.52497,-15.29635,-15.86798,-13.87977,0.022342022,0.013378799,0.021473286,0.005392701,-12.47918,-13.81438333,-13.35908333,-15.0147,0.133143787,1.337984864,1.305629933,0.835759053,-1.335203333,-0.879903333,-2.53552,0.4553,-1.200316667,-1.655616667,0.232903242,0.396736117,0.013295373,,,+,0.747871473,0.342486256,,,0.205467399,
GFJPDDAG_01498 Cytochrome c oxidase subunit 2,-11.61334,-11.4125,-11.7148,-14.44616,-12.51216,-10.48751,-13.47347,-15.13949,-13.81326,-12.36156,-15.93019,-14.07262,0.041661837,0.033691592,0.012479438,0.010016117,-11.58021333,-12.48194333,-14.14207333,-14.12145667,0.125616757,1.61625333,0.718792653,1.457296306,-0.90173,-2.56186,-2.541243333,-1.66013,-1.639513333,0.020616667,0.475482433,0.007677815,0.069916302,,+,,0.255108655,0.346720905,,,0.986543481,
GFJPDDAG_01524 Dihydrolipoyl dehydrogenase,-10.35943,-8.125846,-11.95197,-7.362494,-10.44534,-7.431826,-9.312865,-9.163412,-10.82081,-8.062596,-10.25861,-7.930461,0.112604386,0.565365489,0.259188656,0.414478201,-10.14574867,-8.41322,-9.765695667,-8.750555667,1.569299419,1.437204579,0.748569187,1.067719008,1.732528667,0.380053,1.395193,-1.352475667,-0.337335667,1.01514,0.313704487,0.772657945,0.357266572,,,,0.303264502,0.803060595,,,0.332715461,
GFJPDDAG_01595 Hopanoid C-2 methylase,-13.49942,-13.11322,-14.34535,-14.92487,-14.92058,-15.07426,-16.22499,-14.41333,-12.89839,-13.4772,-13.62945,-13.10177,0.009905327,0.005991941,0.009655278,0.016482937,-13.65266333,-14.97323667,-14.51223667,-13.40280667,0.514553997,0.071455751,1.359878374,0.221754101,-1.320573333,-0.859573333,0.249856667,0.461,1.57043,1.10943,0.022859724,0.450151707,0.562511174,+,,,0.657104968,0.00067624,,+,0.318390162,
GFJPDDAG_01615 Putative aminopeptidase YsdC,-8.35635,-9.301361,-8.318154,-8.760457,-8.535563,-7.885742,-8.67255,-8.446373,-8.81964,-8.798971,-8.069869,-8.08581,0.315664062,0.572979354,0.563146614,0.559304999,-8.658621667,-8.393920667,-8.646187667,-8.318216667,0.454752769,0.37088048,0.153521535,0.340006937,0.264701,0.012434,0.340405,-0.252267,0.075704,0.327971,0.558212532,0.972530311,0.444283817,,,,0.424335571,0.841899726,,,0.281655131,
GFJPDDAG_01639 hypothetical protein,-11.41104,-9.194435,-11.61988,-14.04525,-12.51725,-13.64002,-11.95967,-13.25162,-12.09113,-11.75054,-13.44514,-13.13282,0.074495578,0.017819933,0.040769389,0.025449077,-10.741785,-13.40084,-12.43414,-12.77616667,1.097458444,0.646323605,0.580531708,0.736350682,-2.659055,-1.692355,-2.034381667,0.9667,0.624673333,-0.342026667,0.041863195,0.126145587,0.095068727,+,,,0.190682571,0.418219364,,,0.633161849,
GFJPDDAG_01684 Dipeptide-binding protein DppE,-3.094673,-2.418359,-3.141624,-2.578382,-4.161777,-3.56329,-2.871184,-3.281917,-2.709515,-3.675699,-3.294162,-3.359545,17.27002491,17.82700854,29.1124593,16.41324355,-2.884885333,-3.434483,-2.954205333,-3.443135333,0.330440326,0.652803372,0.240943173,0.166599577,-0.549597667,-0.06932,-0.55825,0.480277667,-0.008652333,-0.48893,0.347983167,0.822333084,0.099827494,,,,0.384286751,0.986379411,,,0.077624631,
GFJPDDAG_01718 Cyclodextrin-binding protein,-13.17224,-12.12138,-12.56962,-14.47618,-15.03257,-15.71723,-14.82246,-14.96681,-13.34597,-14.46294,-16.59086,-14.10415,0.020249128,0.005582585,0.010593747,0.005252696,-12.62108,-15.07532667,-14.37841333,-15.05265,0.430552191,0.507557796,0.732422309,1.097497174,-2.454246667,-1.757333333,-2.43157,0.696913333,0.022676667,-0.674236667,0.006450461,0.043019469,0.043379914,+,+,+,0.330754373,0.980111543,,,0.509881042,
GFJPDDAG_01895 Glyoxal reductase,-12.52701,-10.64908,-12.01616,-14.35459,-13.82034,-13.21867,-10.38461,-13.87659,-15.52669,-15.66977,-13.18631,-15.66469,0.037533785,0.013532846,0.02295799,0.006085819,-11.73075,-13.79786667,-13.26263,-14.84025667,0.792779676,0.46400959,2.14366615,1.169518743,-2.067116667,-1.53188,-3.109506667,0.535236667,-1.04239,-1.577626667,0.033457314,0.396871304,0.035788412,+,,+,0.747393445,0.306367867,,,0.412586405,
