#Batch CD-search tool	NIH/NLM/NCBI											
#cdsid	QM3-qcdsearch-1D4DCAEC1C1DDBC2-317EA3B81877B768											
#datatype	hitsStandard Results											
#status	0											
#Start time	2019-06-07T14:37:35	Run time	0:00:06:46									
#status	success											
												
Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily		
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187643	1	208	3	6.60E-52	170	897	cd08939	KDSR-like_SDR_c	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	355392	1	208	3	6.60E-52	170	897	cl25409	SDR superfamily	 - 	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	333842	2	190	1	5.80E-45	152	376	pfam00106	adh_short	 - 	cl37959
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	333842	2	190	1	5.80E-45	152	376	cl37959	adh_short superfamily	 - 	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	223377	1	209	3	5.10E-43	148	55	COG0300	DltE	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	236074	3	221	2	9.00E-40	140	209	PRK07666	fabG	 - 	cl35604
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	236074	3	221	2	9.00E-40	140	209	cl35604	fabG superfamily	 - 	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	131468	3	189	2	3.40E-28	109	849	TIGR02415	23BDH	C	cl31208
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	131468	3	189	2	3.40E-28	109	849	cl31208	23BDH superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	214833	3	121	1	3.00E-09	57	8773	smart00822	PKS_KR	C	cl21454
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	354811	3	121	1	3.00E-09	57	8773	cl21454	NADB_Rossmann superfamily	C	 - 
Q#2 - >GFJPDDAG_03987 hypothetical protein	specific	312393	5	103	4	4.90E-56	171	242	pfam08838	DUF1811	 - 	cl07442
Q#2 - >GFJPDDAG_03987 hypothetical protein	superfamily	312393	5	103	4	4.90E-56	171	242	cl07442	DUF1811 superfamily	 - 	 - 
Q#3 - >GFJPDDAG_03988 hypothetical protein	non-specific	316649	4	52	6	4.20E-12	55	521	pfam14139	YpzG	 - 	cl16648
Q#3 - >GFJPDDAG_03988 hypothetical protein	superfamily	316649	4	52	6	4.20E-12	55	521	cl16648	YpzG superfamily	 - 	 - 
"Q#4 - >GFJPDDAG_03989 Small, acid-soluble spore protein K"	specific	179534	2	49	2	8.50E-18	71	8665	PRK03081	sspK	 - 	cl23915
"Q#4 - >GFJPDDAG_03989 Small, acid-soluble spore protein K"	superfamily	329168	2	49	2	8.50E-18	71	8665	cl23915	SspK superfamily	 - 	 - 
"Q#4 - >GFJPDDAG_03989 Small, acid-soluble spore protein K"	specific	285399	1	47	4	5.00E-18	71	3594	pfam08176	SspK	 - 	cl23915
"Q#4 - >GFJPDDAG_03989 Small, acid-soluble spore protein K"	specific	274427	16	47	6	3.10E-10	50	3284	TIGR03091	SASP_sspK	 - 	cl23915
Q#5 - >GFJPDDAG_03990 hypothetical protein	non-specific	316556	5	75	2	5.40E-35	117	2	pfam14043	WVELL	 - 	cl16563
Q#5 - >GFJPDDAG_03990 hypothetical protein	superfamily	316556	5	75	2	5.40E-35	117	2	cl16563	WVELL superfamily	 - 	 - 
Q#6 - >GFJPDDAG_03991 hypothetical protein	specific	309442	1	171	8	5.80E-36	129	863	pfam04307	YdjM	 - 	cl00868
Q#6 - >GFJPDDAG_03991 hypothetical protein	superfamily	321220	1	171	8	5.80E-36	129	863	cl00868	YdjM superfamily	 - 	 - 
Q#6 - >GFJPDDAG_03991 hypothetical protein	specific	224899	1	183	8	8.00E-36	130	267	COG1988	YbcI	 - 	cl00868
Q#8 - >GFJPDDAG_03993 Adenine DNA glycosylase	specific	224115	15	361	9	3.10E-156	443	709	COG1194	MutY	 - 	cl34172
Q#8 - >GFJPDDAG_03993 Adenine DNA glycosylase	superfamily	224115	15	361	9	3.10E-156	443	709	cl34172	MutY superfamily	 - 	 - 
