#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-1D4DCAEC1C1DDBC2-317EA3B81877B768
#datatype	hitsStandard Results
#status	0
#Start time	2019-06-07T14:37:35	Run time	0:00:06:46
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	187643	1	208	3.65986e-53	170.897	cd08939	KDSR-like_SDR_c	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	355392	1	208	3.65986e-53	170.897	cl25409	SDR superfamily	 - 	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	333842	2	190	1.57754e-46	152.376	pfam00106	adh_short	 - 	cl37959
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	333842	2	190	1.57754e-46	152.376	cl37959	adh_short superfamily	 - 	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	223377	1	209	3.50957e-44	148.55	COG0300	DltE	 - 	cl25409
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	236074	3	221	2.89912e-41	140.209	PRK07666	fabG	 - 	cl35604
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	236074	3	221	2.89912e-41	140.209	cl35604	fabG superfamily	 - 	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	131468	3	189	2.33742e-29	109.849	TIGR02415	23BDH	C	cl31208
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	131468	3	189	2.33742e-29	109.849	cl31208	23BDH superfamily	C	 - 
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	non-specific	214833	3	121	1.3017e-10	57.8773	smart00822	PKS_KR	C	cl21454
Q#1 - >GFJPDDAG_03986 Sepiapterin reductase	superfamily	354811	3	121	1.3017e-10	57.8773	cl21454	NADB_Rossmann superfamily	C	 - 
Q#2 - >GFJPDDAG_03987 hypothetical protein	specific	312393	5	103	4.48889e-57	171.242	pfam08838	DUF1811	 - 	cl07442
