#Batch CD-search tool	NIH/NLM/NCBI									
#cdsid	QM3-qcdsearch-EF832E26470DADB-3CA465FD1FDB02E6									
#datatype	hitsStandard Results									
#status	0									
#Start time	2019-06-07T14:36:53	Run time	0:01:26:40							
#status	success									
										
Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >GFJPDDAG_00001 Acetyltransferase YpeA	specific	334159	11	124	3.25E-19	77.5629	pfam00583	Acetyltransf_1	 - 	cl17182
Q#1 - >GFJPDDAG_00001 Acetyltransferase YpeA	superfamily	354318	11	124	3.25E-19	77.5629	cl17182	NAT_SF superfamily	 - 	 - 
Q#1 - >GFJPDDAG_00001 Acetyltransferase YpeA	specific	173926	43	106	2.52E-13	60.7524	cd04301	NAT_SF	 - 	cl17182
Q#1 - >GFJPDDAG_00001 Acetyltransferase YpeA	specific	223532	1	145	6.39E-12	60.0102	COG0456	RimI	 - 	cl33885
Q#1 - >GFJPDDAG_00001 Acetyltransferase YpeA	superfamily	223532	1	145	6.39E-12	60.0102	cl33885	RimI superfamily	 - 	 - 
Q#1 - >GFJPDDAG_00001 Acetyltransferase YpeA	non-specific	273701	46	127	7.42E-10	53.4867	TIGR01575	rimI	N	cl36933
Q#1 - >GFJPDDAG_00001 Acetyltransferase YpeA	superfamily	273701	46	127	7.42E-10	53.4867	cl36933	rimI superfamily	N	 - 
Q#1 - >GFJPDDAG_00001 Acetyltransferase YpeA	non-specific	140351	44	134	0.0099856	34.4327	PTZ00330	PTZ00330	N	cl17182
Q#2 - >GFJPDDAG_00002 Penicillin-binding protein 4*	specific	333874	14	358	4.22E-52	176.147	pfam00144	Beta-lactamase	 - 	cl21491
Q#2 - >GFJPDDAG_00002 Penicillin-binding protein 4*	superfamily	354834	14	358	4.22E-52	176.147	cl21491	Transpeptidase superfamily	 - 	 - 
Q#2 - >GFJPDDAG_00002 Penicillin-binding protein 4*	specific	224594	1	363	2.33E-48	168.25	COG1680	AmpC	 - 	cl21491
Q#2 - >GFJPDDAG_00002 Penicillin-binding protein 4*	non-specific	236894	52	251	3.33E-14	73.0022	PRK11289	ampC	NC	cl21491
Q#3 - >GFJPDDAG_00003 5-aminolevulinate synthase	specific	236370	2	402	0	671.182	PRK09064	PRK09064	 - 	cl18945
Q#3 - >GFJPDDAG_00003 5-aminolevulinate synthase	superfamily	354370	2	402	0	671.182	cl18945	Beta_elim_lyase superfamily	 - 	 - 
Q#3 - >GFJPDDAG_00003 5-aminolevulinate synthase	non-specific	273820	2	402	0	555.109	TIGR01821	5aminolev_synth	 - 	cl18945
Q#3 - >GFJPDDAG_00003 5-aminolevulinate synthase	specific	99747	44	394	1.12E-158	450.474	cd06454	KBL_like	 - 	cl29034
Q#3 - >GFJPDDAG_00003 5-aminolevulinate synthase	superfamily	355910	44	394	1.12E-158	450.474	cl29034	AAT_I superfamily	 - 	 - 
Q#3 - >GFJPDDAG_00003 5-aminolevulinate synthase	specific	223234	1	394	2.55E-153	438.611	COG0156	BioF	 - 	cl33782
Q#3 - >GFJPDDAG_00003 5-aminolevulinate synthase	superfamily	223234	1	394	2.55E-153	438.611	cl33782	BioF superfamily	 - 	 - 
Q#3 - >GFJPDDAG_00003 5-aminolevulinate synthase	specific	333884	44	390	4.47E-69	222.202	pfam00155	Aminotran_1_2	 - 	cl37970
Q#3 - >GFJPDDAG_00003 5-aminolevulinate synthase	superfamily	333884	44	390	4.47E-69	222.202	cl37970	Aminotran_1_2 superfamily	 - 	 - 
Q#4 - >GFJPDDAG_00004 hypothetical protein	specific	223769	1	284	1.33E-10	60.6505	COG0697	RhaT	 - 	cl34009
Q#4 - >GFJPDDAG_00004 hypothetical protein	superfamily	223769	1	284	1.33E-10	60.6505	cl34009	RhaT superfamily	 - 	 - 
Q#4 - >GFJPDDAG_00004 hypothetical protein	specific	307170	3	135	2.21E-10	57.5902	pfam00892	EamA	 - 	cl23754
Q#4 - >GFJPDDAG_00004 hypothetical protein	superfamily	329058	3	135	2.21E-10	57.5902	cl23754	EamA superfamily	 - 	 - 
Q#4 - >GFJPDDAG_00004 hypothetical protein	non-specific	273359	34	261	3.14E-08	53.4664	TIGR00950	2A78	 - 	cl36778
