Assembly	TARA_PON_RAW
# contigs (>= 1000 bp)	42
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	93081
Total length (>= 5000 bp)	11624
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	42
Largest contig	6504
Total length	93081
Reference length	4234461
GC (%)	49.66
Reference GC (%)	41.03
N50	2909
N75	1533
L50	12
L75	24
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	10 + 32 part
Unaligned length	90202
Genome fraction (%)	0.025
Duplication ratio	2.673
# N's per 100 kbp	0.00
# mismatches per 100 kbp	6778.09
# indels per 100 kbp	92.85
Largest alignment	201
Total aligned length	2879
NGA50	-
