Assembly	TARA_ANW_RAW
# contigs (>= 1000 bp)	51
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	1
Total length (>= 1000 bp)	200221
Total length (>= 5000 bp)	121401
Total length (>= 10000 bp)	105935
Total length (>= 25000 bp)	105935
Total length (>= 50000 bp)	105935
# contigs	51
Largest contig	105935
Total length	200221
Reference length	3561038
GC (%)	41.62
Reference GC (%)	41.87
N50	105935
N75	2041
L50	1
L75	14
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	1
# unaligned contigs	10 + 41 part
Unaligned length	196465
Genome fraction (%)	0.022
Duplication ratio	4.719
# N's per 100 kbp	0.00
# mismatches per 100 kbp	14698.49
# indels per 100 kbp	0.00
Largest alignment	145
Total aligned length	3756
NGA50	-
